web-scraper-order,web-scraper-start-url,archetype_link,archetype_link-href,winrate,deck,deck-href,cards
"1665775189-4299","https://mtgdecks.net/Modern/metagame:last-year","Restore Balance","https://mtgdecks.net/Modern/restore-balance","60%","Four-color Ponza","https://mtgdecks.net/Modern/four-color-ponza-decklist-by-travis-newham-1462630","2
 Klothys, God of Destiny"
"1665775189-4300","https://mtgdecks.net/Modern/metagame:last-year","Restore Balance","https://mtgdecks.net/Modern/restore-balance","60%","Four-color Ponza","https://mtgdecks.net/Modern/four-color-ponza-decklist-by-travis-newham-1462630","3
 Metalwork Colossus"
"1665775189-4301","https://mtgdecks.net/Modern/metagame:last-year","Restore Balance","https://mtgdecks.net/Modern/restore-balance","60%","Four-color Ponza","https://mtgdecks.net/Modern/four-color-ponza-decklist-by-travis-newham-1462630","3
 Shardless Agent"
"1665775189-4302","https://mtgdecks.net/Modern/metagame:last-year","Restore Balance","https://mtgdecks.net/Modern/restore-balance","60%","Four-color Ponza","https://mtgdecks.net/Modern/four-color-ponza-decklist-by-travis-newham-1462630","4
 Greater Gargadon"
"1665775189-4303","https://mtgdecks.net/Modern/metagame:last-year","Restore Balance","https://mtgdecks.net/Modern/restore-balance","60%","Four-color Ponza","https://mtgdecks.net/Modern/four-color-ponza-decklist-by-travis-newham-1462630","2
 Mistvein Borderpost"
"1665775189-4304","https://mtgdecks.net/Modern/metagame:last-year","Restore Balance","https://mtgdecks.net/Modern/restore-balance","60%","Four-color Ponza","https://mtgdecks.net/Modern/four-color-ponza-decklist-by-travis-newham-1462630","2
 Veinfire Borderpost"
"1665775189-4305","https://mtgdecks.net/Modern/metagame:last-year","Restore Balance","https://mtgdecks.net/Modern/restore-balance","60%","Four-color Ponza","https://mtgdecks.net/Modern/four-color-ponza-decklist-by-travis-newham-1462630","4
 Wildfield Borderpost"
"1665775189-4306","https://mtgdecks.net/Modern/metagame:last-year","Restore Balance","https://mtgdecks.net/Modern/restore-balance","60%","Four-color Ponza","https://mtgdecks.net/Modern/four-color-ponza-decklist-by-travis-newham-1462630","4
 Firewild Borderpost"
"1665775189-4307","https://mtgdecks.net/Modern/metagame:last-year","Restore Balance","https://mtgdecks.net/Modern/restore-balance","60%","Four-color Ponza","https://mtgdecks.net/Modern/four-color-ponza-decklist-by-travis-newham-1462630","4
 Fieldmist Borderpost"
"1665775189-4308","https://mtgdecks.net/Modern/metagame:last-year","Restore Balance","https://mtgdecks.net/Modern/restore-balance","60%","Four-color Ponza","https://mtgdecks.net/Modern/four-color-ponza-decklist-by-travis-newham-1462630","1
 Force of Negation"
"1665775189-4309","https://mtgdecks.net/Modern/metagame:last-year","Restore Balance","https://mtgdecks.net/Modern/restore-balance","60%","Four-color Ponza","https://mtgdecks.net/Modern/four-color-ponza-decklist-by-travis-newham-1462630","3
 Dead/Gone"
"1665775189-4310","https://mtgdecks.net/Modern/metagame:last-year","Restore Balance","https://mtgdecks.net/Modern/restore-balance","60%","Four-color Ponza","https://mtgdecks.net/Modern/four-color-ponza-decklist-by-travis-newham-1462630","4
 Violent Outburst"
"1665775189-4311","https://mtgdecks.net/Modern/metagame:last-year","Restore Balance","https://mtgdecks.net/Modern/restore-balance","60%","Four-color Ponza","https://mtgdecks.net/Modern/four-color-ponza-decklist-by-travis-newham-1462630","4
 Restore Balance"
"1665775189-4312","https://mtgdecks.net/Modern/metagame:last-year","Restore Balance","https://mtgdecks.net/Modern/restore-balance","60%","Four-color Ponza","https://mtgdecks.net/Modern/four-color-ponza-decklist-by-travis-newham-1462630","2
 Blood Moon"
"1665775189-4313","https://mtgdecks.net/Modern/metagame:last-year","Restore Balance","https://mtgdecks.net/Modern/restore-balance","60%","Four-color Ponza","https://mtgdecks.net/Modern/four-color-ponza-decklist-by-travis-newham-1462630","2
 Ardent Plea"
"1665775189-4314","https://mtgdecks.net/Modern/metagame:last-year","Restore Balance","https://mtgdecks.net/Modern/restore-balance","60%","Four-color Ponza","https://mtgdecks.net/Modern/four-color-ponza-decklist-by-travis-newham-1462630","4
 Karn, the Great Creator"
"1665775189-4315","https://mtgdecks.net/Modern/metagame:last-year","Restore Balance","https://mtgdecks.net/Modern/restore-balance","60%","Four-color Ponza","https://mtgdecks.net/Modern/four-color-ponza-decklist-by-travis-newham-1462630","1
 Island"
"1665775189-4316","https://mtgdecks.net/Modern/metagame:last-year","Restore Balance","https://mtgdecks.net/Modern/restore-balance","60%","Four-color Ponza","https://mtgdecks.net/Modern/four-color-ponza-decklist-by-travis-newham-1462630","1
 Plains"
"1665775189-4317","https://mtgdecks.net/Modern/metagame:last-year","Restore Balance","https://mtgdecks.net/Modern/restore-balance","60%","Four-color Ponza","https://mtgdecks.net/Modern/four-color-ponza-decklist-by-travis-newham-1462630","2
 Wooded Foothills"
"1665775189-4318","https://mtgdecks.net/Modern/metagame:last-year","Restore Balance","https://mtgdecks.net/Modern/restore-balance","60%","Four-color Ponza","https://mtgdecks.net/Modern/four-color-ponza-decklist-by-travis-newham-1462630","2
 Mountain"
"1665775189-4319","https://mtgdecks.net/Modern/metagame:last-year","Restore Balance","https://mtgdecks.net/Modern/restore-balance","60%","Four-color Ponza","https://mtgdecks.net/Modern/four-color-ponza-decklist-by-travis-newham-1462630","2
 Forest"
"1665775189-4320","https://mtgdecks.net/Modern/metagame:last-year","Restore Balance","https://mtgdecks.net/Modern/restore-balance","60%","Four-color Ponza","https://mtgdecks.net/Modern/four-color-ponza-decklist-by-travis-newham-1462630","4
 Prismatic Vista"
"1665775189-4321","https://mtgdecks.net/Modern/metagame:last-year","Restore Balance","https://mtgdecks.net/Modern/restore-balance","60%","Four-color Ponza","https://mtgdecks.net/Modern/four-color-ponza-decklist-by-travis-newham-1462630","1
 Klothys, God of Destiny"
"1665775189-4322","https://mtgdecks.net/Modern/metagame:last-year","Restore Balance","https://mtgdecks.net/Modern/restore-balance","60%","Four-color Ponza","https://mtgdecks.net/Modern/four-color-ponza-decklist-by-travis-newham-1462630","1
 Goblin Charbelcher"
"1665775189-4323","https://mtgdecks.net/Modern/metagame:last-year","Restore Balance","https://mtgdecks.net/Modern/restore-balance","60%","Four-color Ponza","https://mtgdecks.net/Modern/four-color-ponza-decklist-by-travis-newham-1462630","1
 Ugin's Nexus"
"1665775189-4324","https://mtgdecks.net/Modern/metagame:last-year","Restore Balance","https://mtgdecks.net/Modern/restore-balance","60%","Four-color Ponza","https://mtgdecks.net/Modern/four-color-ponza-decklist-by-travis-newham-1462630","1
 Shardless Agent"
"1665775189-4325","https://mtgdecks.net/Modern/metagame:last-year","Restore Balance","https://mtgdecks.net/Modern/restore-balance","60%","Four-color Ponza","https://mtgdecks.net/Modern/four-color-ponza-decklist-by-travis-newham-1462630","1
 Metalwork Colossus"
"1665775189-4326","https://mtgdecks.net/Modern/metagame:last-year","Restore Balance","https://mtgdecks.net/Modern/restore-balance","60%","Four-color Ponza","https://mtgdecks.net/Modern/four-color-ponza-decklist-by-travis-newham-1462630","1
 Ensnaring Bridge"
"1665775189-4327","https://mtgdecks.net/Modern/metagame:last-year","Restore Balance","https://mtgdecks.net/Modern/restore-balance","60%","Four-color Ponza","https://mtgdecks.net/Modern/four-color-ponza-decklist-by-travis-newham-1462630","1
 Pithing Needle"
"1665775189-4328","https://mtgdecks.net/Modern/metagame:last-year","Restore Balance","https://mtgdecks.net/Modern/restore-balance","60%","Four-color Ponza","https://mtgdecks.net/Modern/four-color-ponza-decklist-by-travis-newham-1462630","1
 Chalice of the Void"
"1665775189-4329","https://mtgdecks.net/Modern/metagame:last-year","Restore Balance","https://mtgdecks.net/Modern/restore-balance","60%","Four-color Ponza","https://mtgdecks.net/Modern/four-color-ponza-decklist-by-travis-newham-1462630","1
 Liquimetal Coating"
"1665775189-4330","https://mtgdecks.net/Modern/metagame:last-year","Restore Balance","https://mtgdecks.net/Modern/restore-balance","60%","Four-color Ponza","https://mtgdecks.net/Modern/four-color-ponza-decklist-by-travis-newham-1462630","2
 Force of Negation"
"1665775189-4331","https://mtgdecks.net/Modern/metagame:last-year","Restore Balance","https://mtgdecks.net/Modern/restore-balance","60%","Four-color Ponza","https://mtgdecks.net/Modern/four-color-ponza-decklist-by-travis-newham-1462630","4
 Ingot Chewer"
"1665775194-4332","https://mtgdecks.net/Modern/metagame:last-year","Mono Red Midrange","https://mtgdecks.net/Modern/mono-red-midrange","73%","Mono Red Midrange","https://mtgdecks.net/Modern/mono-red-midrange-decklist-by-skrug092-1474566","1
 Legion Warboss"
"1665775194-4333","https://mtgdecks.net/Modern/metagame:last-year","Mono Red Midrange","https://mtgdecks.net/Modern/mono-red-midrange","73%","Mono Red Midrange","https://mtgdecks.net/Modern/mono-red-midrange-decklist-by-skrug092-1474566","1
 Squee, Dubious Monarch"
"1665775194-4334","https://mtgdecks.net/Modern/metagame:last-year","Mono Red Midrange","https://mtgdecks.net/Modern/mono-red-midrange","73%","Mono Red Midrange","https://mtgdecks.net/Modern/mono-red-midrange-decklist-by-skrug092-1474566","2
 Bonecrusher Giant"
"1665775194-4335","https://mtgdecks.net/Modern/metagame:last-year","Mono Red Midrange","https://mtgdecks.net/Modern/mono-red-midrange","73%","Mono Red Midrange","https://mtgdecks.net/Modern/mono-red-midrange-decklist-by-skrug092-1474566","2
 Torbran, Thane of Red Fell"
"1665775194-4336","https://mtgdecks.net/Modern/metagame:last-year","Mono Red Midrange","https://mtgdecks.net/Modern/mono-red-midrange","73%","Mono Red Midrange","https://mtgdecks.net/Modern/mono-red-midrange-decklist-by-skrug092-1474566","2
 Goblin Rabblemaster"
"1665775194-4337","https://mtgdecks.net/Modern/metagame:last-year","Mono Red Midrange","https://mtgdecks.net/Modern/mono-red-midrange","73%","Mono Red Midrange","https://mtgdecks.net/Modern/mono-red-midrange-decklist-by-skrug092-1474566","3
 Seasoned Pyromancer"
"1665775194-4338","https://mtgdecks.net/Modern/metagame:last-year","Mono Red Midrange","https://mtgdecks.net/Modern/mono-red-midrange","73%","Mono Red Midrange","https://mtgdecks.net/Modern/mono-red-midrange-decklist-by-skrug092-1474566","3
 Fury"
"1665775194-4339","https://mtgdecks.net/Modern/metagame:last-year","Mono Red Midrange","https://mtgdecks.net/Modern/mono-red-midrange","73%","Mono Red Midrange","https://mtgdecks.net/Modern/mono-red-midrange-decklist-by-skrug092-1474566","4
 Ragavan, Nimble Pilferer"
"1665775194-4340","https://mtgdecks.net/Modern/metagame:last-year","Mono Red Midrange","https://mtgdecks.net/Modern/mono-red-midrange","73%","Mono Red Midrange","https://mtgdecks.net/Modern/mono-red-midrange-decklist-by-skrug092-1474566","4
 Eidolon of the Great Revel"
"1665775194-4341","https://mtgdecks.net/Modern/metagame:last-year","Mono Red Midrange","https://mtgdecks.net/Modern/mono-red-midrange","73%","Mono Red Midrange","https://mtgdecks.net/Modern/mono-red-midrange-decklist-by-skrug092-1474566","3
 Spikefield Hazard"
"1665775194-4342","https://mtgdecks.net/Modern/metagame:last-year","Mono Red Midrange","https://mtgdecks.net/Modern/mono-red-midrange","73%","Mono Red Midrange","https://mtgdecks.net/Modern/mono-red-midrange-decklist-by-skrug092-1474566","4
 Lightning Bolt"
"1665775194-4343","https://mtgdecks.net/Modern/metagame:last-year","Mono Red Midrange","https://mtgdecks.net/Modern/mono-red-midrange","73%","Mono Red Midrange","https://mtgdecks.net/Modern/mono-red-midrange-decklist-by-skrug092-1474566","2
 Light Up the Night"
"1665775194-4344","https://mtgdecks.net/Modern/metagame:last-year","Mono Red Midrange","https://mtgdecks.net/Modern/mono-red-midrange","73%","Mono Red Midrange","https://mtgdecks.net/Modern/mono-red-midrange-decklist-by-skrug092-1474566","4
 Blood Moon"
"1665775194-4345","https://mtgdecks.net/Modern/metagame:last-year","Mono Red Midrange","https://mtgdecks.net/Modern/mono-red-midrange","73%","Mono Red Midrange","https://mtgdecks.net/Modern/mono-red-midrange-decklist-by-skrug092-1474566","4
 Leyline of Combustion"
"1665775194-4346","https://mtgdecks.net/Modern/metagame:last-year","Mono Red Midrange","https://mtgdecks.net/Modern/mono-red-midrange","73%","Mono Red Midrange","https://mtgdecks.net/Modern/mono-red-midrange-decklist-by-skrug092-1474566","1
 Chandra, Torch of Defiance"
"1665775194-4347","https://mtgdecks.net/Modern/metagame:last-year","Mono Red Midrange","https://mtgdecks.net/Modern/mono-red-midrange","73%","Mono Red Midrange","https://mtgdecks.net/Modern/mono-red-midrange-decklist-by-skrug092-1474566","1
 Chandra, Dressed to Kill"
"1665775194-4348","https://mtgdecks.net/Modern/metagame:last-year","Mono Red Midrange","https://mtgdecks.net/Modern/mono-red-midrange","73%","Mono Red Midrange","https://mtgdecks.net/Modern/mono-red-midrange-decklist-by-skrug092-1474566","1
 Mutavault"
"1665775194-4349","https://mtgdecks.net/Modern/metagame:last-year","Mono Red Midrange","https://mtgdecks.net/Modern/mono-red-midrange","73%","Mono Red Midrange","https://mtgdecks.net/Modern/mono-red-midrange-decklist-by-skrug092-1474566","2
 Sokenzan, Crucible of Defiance"
"1665775194-4350","https://mtgdecks.net/Modern/metagame:last-year","Mono Red Midrange","https://mtgdecks.net/Modern/mono-red-midrange","73%","Mono Red Midrange","https://mtgdecks.net/Modern/mono-red-midrange-decklist-by-skrug092-1474566","4
 Ramunap Ruins"
"1665775194-4351","https://mtgdecks.net/Modern/metagame:last-year","Mono Red Midrange","https://mtgdecks.net/Modern/mono-red-midrange","73%","Mono Red Midrange","https://mtgdecks.net/Modern/mono-red-midrange-decklist-by-skrug092-1474566","12
 Mountain"
"1665775194-4352","https://mtgdecks.net/Modern/metagame:last-year","Mono Red Midrange","https://mtgdecks.net/Modern/mono-red-midrange","73%","Mono Red Midrange","https://mtgdecks.net/Modern/mono-red-midrange-decklist-by-skrug092-1474566","1
 Pithing Needle"
"1665775194-4353","https://mtgdecks.net/Modern/metagame:last-year","Mono Red Midrange","https://mtgdecks.net/Modern/mono-red-midrange","73%","Mono Red Midrange","https://mtgdecks.net/Modern/mono-red-midrange-decklist-by-skrug092-1474566","2
 Torpor Orb"
"1665775194-4354","https://mtgdecks.net/Modern/metagame:last-year","Mono Red Midrange","https://mtgdecks.net/Modern/mono-red-midrange","73%","Mono Red Midrange","https://mtgdecks.net/Modern/mono-red-midrange-decklist-by-skrug092-1474566","2
 Shattering Spree"
"1665775194-4355","https://mtgdecks.net/Modern/metagame:last-year","Mono Red Midrange","https://mtgdecks.net/Modern/mono-red-midrange","73%","Mono Red Midrange","https://mtgdecks.net/Modern/mono-red-midrange-decklist-by-skrug092-1474566","2
 Roiling Vortex"
"1665775194-4356","https://mtgdecks.net/Modern/metagame:last-year","Mono Red Midrange","https://mtgdecks.net/Modern/mono-red-midrange","73%","Mono Red Midrange","https://mtgdecks.net/Modern/mono-red-midrange-decklist-by-skrug092-1474566","4
 Pillage"
"1665775194-4357","https://mtgdecks.net/Modern/metagame:last-year","Mono Red Midrange","https://mtgdecks.net/Modern/mono-red-midrange","73%","Mono Red Midrange","https://mtgdecks.net/Modern/mono-red-midrange-decklist-by-skrug092-1474566","4
 Relic of Progenitus"
"1665775200-4358","https://mtgdecks.net/Modern/metagame:last-year","Mardu Land Destruction","https://mtgdecks.net/Modern/mardu-land-destruction","N/A","Mardu Land Destructi...","https://mtgdecks.net/Modern/mardu-land-destruction-decklist-by-ice-nine-1439362","4
 Haktos the Unscarred"
"1665775200-4359","https://mtgdecks.net/Modern/metagame:last-year","Mardu Land Destruction","https://mtgdecks.net/Modern/mardu-land-destruction","N/A","Mardu Land Destructi...","https://mtgdecks.net/Modern/mardu-land-destruction-decklist-by-ice-nine-1439362","4
 Mana Tithe"
"1665775200-4360","https://mtgdecks.net/Modern/metagame:last-year","Mardu Land Destruction","https://mtgdecks.net/Modern/mardu-land-destruction","N/A","Mardu Land Destructi...","https://mtgdecks.net/Modern/mardu-land-destruction-decklist-by-ice-nine-1439362","4
 Lightning Bolt"
"1665775200-4361","https://mtgdecks.net/Modern/metagame:last-year","Mardu Land Destruction","https://mtgdecks.net/Modern/mardu-land-destruction","N/A","Mardu Land Destructi...","https://mtgdecks.net/Modern/mardu-land-destruction-decklist-by-ice-nine-1439362","1
 Thoughts of Ruin"
"1665775200-4362","https://mtgdecks.net/Modern/metagame:last-year","Mardu Land Destruction","https://mtgdecks.net/Modern/mardu-land-destruction","N/A","Mardu Land Destructi...","https://mtgdecks.net/Modern/mardu-land-destruction-decklist-by-ice-nine-1439362","3
 Inquisition of Kozilek"
"1665775200-4363","https://mtgdecks.net/Modern/metagame:last-year","Mardu Land Destruction","https://mtgdecks.net/Modern/mardu-land-destruction","N/A","Mardu Land Destructi...","https://mtgdecks.net/Modern/mardu-land-destruction-decklist-by-ice-nine-1439362","4
 Vindicate"
"1665775200-4364","https://mtgdecks.net/Modern/metagame:last-year","Mardu Land Destruction","https://mtgdecks.net/Modern/mardu-land-destruction","N/A","Mardu Land Destructi...","https://mtgdecks.net/Modern/mardu-land-destruction-decklist-by-ice-nine-1439362","4
 Stone Rain"
"1665775200-4365","https://mtgdecks.net/Modern/metagame:last-year","Mardu Land Destruction","https://mtgdecks.net/Modern/mardu-land-destruction","N/A","Mardu Land Destructi...","https://mtgdecks.net/Modern/mardu-land-destruction-decklist-by-ice-nine-1439362","4
 Prismatic Ending"
"1665775200-4366","https://mtgdecks.net/Modern/metagame:last-year","Mardu Land Destruction","https://mtgdecks.net/Modern/mardu-land-destruction","N/A","Mardu Land Destructi...","https://mtgdecks.net/Modern/mardu-land-destruction-decklist-by-ice-nine-1439362","4
 Molten Rain"
"1665775200-4367","https://mtgdecks.net/Modern/metagame:last-year","Mardu Land Destruction","https://mtgdecks.net/Modern/mardu-land-destruction","N/A","Mardu Land Destructi...","https://mtgdecks.net/Modern/mardu-land-destruction-decklist-by-ice-nine-1439362","4
 Boom/Bust"
"1665775200-4368","https://mtgdecks.net/Modern/metagame:last-year","Mardu Land Destruction","https://mtgdecks.net/Modern/mardu-land-destruction","N/A","Mardu Land Destructi...","https://mtgdecks.net/Modern/mardu-land-destruction-decklist-by-ice-nine-1439362","1
 Savai Triome"
"1665775200-4369","https://mtgdecks.net/Modern/metagame:last-year","Mardu Land Destruction","https://mtgdecks.net/Modern/mardu-land-destruction","N/A","Mardu Land Destructi...","https://mtgdecks.net/Modern/mardu-land-destruction-decklist-by-ice-nine-1439362","1
 Godless Shrine"
"1665775200-4370","https://mtgdecks.net/Modern/metagame:last-year","Mardu Land Destruction","https://mtgdecks.net/Modern/mardu-land-destruction","N/A","Mardu Land Destructi...","https://mtgdecks.net/Modern/mardu-land-destruction-decklist-by-ice-nine-1439362","2
 Blood Crypt"
"1665775200-4371","https://mtgdecks.net/Modern/metagame:last-year","Mardu Land Destruction","https://mtgdecks.net/Modern/mardu-land-destruction","N/A","Mardu Land Destructi...","https://mtgdecks.net/Modern/mardu-land-destruction-decklist-by-ice-nine-1439362","2
 Mountain"
"1665775200-4372","https://mtgdecks.net/Modern/metagame:last-year","Mardu Land Destruction","https://mtgdecks.net/Modern/mardu-land-destruction","N/A","Mardu Land Destructi...","https://mtgdecks.net/Modern/mardu-land-destruction-decklist-by-ice-nine-1439362","3
 Sunbaked Canyon"
"1665775200-4373","https://mtgdecks.net/Modern/metagame:last-year","Mardu Land Destruction","https://mtgdecks.net/Modern/mardu-land-destruction","N/A","Mardu Land Destructi...","https://mtgdecks.net/Modern/mardu-land-destruction-decklist-by-ice-nine-1439362","3
 Sacred Foundry"
"1665775200-4374","https://mtgdecks.net/Modern/metagame:last-year","Mardu Land Destruction","https://mtgdecks.net/Modern/mardu-land-destruction","N/A","Mardu Land Destructi...","https://mtgdecks.net/Modern/mardu-land-destruction-decklist-by-ice-nine-1439362","4
 Flagstones of Trokair"
"1665775200-4375","https://mtgdecks.net/Modern/metagame:last-year","Mardu Land Destruction","https://mtgdecks.net/Modern/mardu-land-destruction","N/A","Mardu Land Destructi...","https://mtgdecks.net/Modern/mardu-land-destruction-decklist-by-ice-nine-1439362","4
 Bloodstained Mire"
"1665775200-4376","https://mtgdecks.net/Modern/metagame:last-year","Mardu Land Destruction","https://mtgdecks.net/Modern/mardu-land-destruction","N/A","Mardu Land Destructi...","https://mtgdecks.net/Modern/mardu-land-destruction-decklist-by-ice-nine-1439362","4
 Arid Mesa"
"1665775200-4377","https://mtgdecks.net/Modern/metagame:last-year","Mardu Land Destruction","https://mtgdecks.net/Modern/mardu-land-destruction","N/A","Mardu Land Destructi...","https://mtgdecks.net/Modern/mardu-land-destruction-decklist-by-ice-nine-1439362","2
 Trinisphere"
"1665775200-4378","https://mtgdecks.net/Modern/metagame:last-year","Mardu Land Destruction","https://mtgdecks.net/Modern/mardu-land-destruction","N/A","Mardu Land Destructi...","https://mtgdecks.net/Modern/mardu-land-destruction-decklist-by-ice-nine-1439362","2
 Rest in Peace"
"1665775200-4379","https://mtgdecks.net/Modern/metagame:last-year","Mardu Land Destruction","https://mtgdecks.net/Modern/mardu-land-destruction","N/A","Mardu Land Destructi...","https://mtgdecks.net/Modern/mardu-land-destruction-decklist-by-ice-nine-1439362","2
 Obsidian Charmaw"
"1665775200-4380","https://mtgdecks.net/Modern/metagame:last-year","Mardu Land Destruction","https://mtgdecks.net/Modern/mardu-land-destruction","N/A","Mardu Land Destructi...","https://mtgdecks.net/Modern/mardu-land-destruction-decklist-by-ice-nine-1439362","2
 Magus of the Tabernacle"
"1665775200-4381","https://mtgdecks.net/Modern/metagame:last-year","Mardu Land Destruction","https://mtgdecks.net/Modern/mardu-land-destruction","N/A","Mardu Land Destructi...","https://mtgdecks.net/Modern/mardu-land-destruction-decklist-by-ice-nine-1439362","2
 Gut Shot"
"1665775200-4382","https://mtgdecks.net/Modern/metagame:last-year","Mardu Land Destruction","https://mtgdecks.net/Modern/mardu-land-destruction","N/A","Mardu Land Destructi...","https://mtgdecks.net/Modern/mardu-land-destruction-decklist-by-ice-nine-1439362","2
 Boil"
"1665775200-4383","https://mtgdecks.net/Modern/metagame:last-year","Mardu Land Destruction","https://mtgdecks.net/Modern/mardu-land-destruction","N/A","Mardu Land Destructi...","https://mtgdecks.net/Modern/mardu-land-destruction-decklist-by-ice-nine-1439362","3
 Ghostly Prison"
"1665775205-4384","https://mtgdecks.net/Modern/metagame:last-year","Cragganwick Shoot","https://mtgdecks.net/Modern/cragganwick-shoot","N/A","Cragganwick Shoot","https://mtgdecks.net/Modern/cragganwick-shoot-decklist-by-arai-ryouta-1470240","3
 Fable of the Mirror-Breaker"
"1665775205-4385","https://mtgdecks.net/Modern/metagame:last-year","Cragganwick Shoot","https://mtgdecks.net/Modern/cragganwick-shoot","N/A","Cragganwick Shoot","https://mtgdecks.net/Modern/cragganwick-shoot-decklist-by-arai-ryouta-1470240","3
 Fury"
"1665775205-4386","https://mtgdecks.net/Modern/metagame:last-year","Cragganwick Shoot","https://mtgdecks.net/Modern/cragganwick-shoot","N/A","Cragganwick Shoot","https://mtgdecks.net/Modern/cragganwick-shoot-decklist-by-arai-ryouta-1470240","4
 Impervious Greatwurm"
"1665775205-4387","https://mtgdecks.net/Modern/metagame:last-year","Cragganwick Shoot","https://mtgdecks.net/Modern/cragganwick-shoot","N/A","Cragganwick Shoot","https://mtgdecks.net/Modern/cragganwick-shoot-decklist-by-arai-ryouta-1470240","4
 Scion of Draco"
"1665775205-4388","https://mtgdecks.net/Modern/metagame:last-year","Cragganwick Shoot","https://mtgdecks.net/Modern/cragganwick-shoot","N/A","Cragganwick Shoot","https://mtgdecks.net/Modern/cragganwick-shoot-decklist-by-arai-ryouta-1470240","4
 Territorial Kavu"
"1665775205-4389","https://mtgdecks.net/Modern/metagame:last-year","Cragganwick Shoot","https://mtgdecks.net/Modern/cragganwick-shoot","N/A","Cragganwick Shoot","https://mtgdecks.net/Modern/cragganwick-shoot-decklist-by-arai-ryouta-1470240","4
 Cragganwick Cremator"
"1665775205-4390","https://mtgdecks.net/Modern/metagame:last-year","Cragganwick Shoot","https://mtgdecks.net/Modern/cragganwick-shoot","N/A","Cragganwick Shoot","https://mtgdecks.net/Modern/cragganwick-shoot-decklist-by-arai-ryouta-1470240","1
 Eladamri's Call"
"1665775205-4391","https://mtgdecks.net/Modern/metagame:last-year","Cragganwick Shoot","https://mtgdecks.net/Modern/cragganwick-shoot","N/A","Cragganwick Shoot","https://mtgdecks.net/Modern/cragganwick-shoot-decklist-by-arai-ryouta-1470240","4
 Lightning Bolt"
"1665775205-4392","https://mtgdecks.net/Modern/metagame:last-year","Cragganwick Shoot","https://mtgdecks.net/Modern/cragganwick-shoot","N/A","Cragganwick Shoot","https://mtgdecks.net/Modern/cragganwick-shoot-decklist-by-arai-ryouta-1470240","3
 Tribal Flames"
"1665775205-4393","https://mtgdecks.net/Modern/metagame:last-year","Cragganwick Shoot","https://mtgdecks.net/Modern/cragganwick-shoot","N/A","Cragganwick Shoot","https://mtgdecks.net/Modern/cragganwick-shoot-decklist-by-arai-ryouta-1470240","3
 Leyline Binding"
"1665775205-4394","https://mtgdecks.net/Modern/metagame:last-year","Cragganwick Shoot","https://mtgdecks.net/Modern/cragganwick-shoot","N/A","Cragganwick Shoot","https://mtgdecks.net/Modern/cragganwick-shoot-decklist-by-arai-ryouta-1470240","4
 Wrenn and Six"
"1665775205-4395","https://mtgdecks.net/Modern/metagame:last-year","Cragganwick Shoot","https://mtgdecks.net/Modern/cragganwick-shoot","N/A","Cragganwick Shoot","https://mtgdecks.net/Modern/cragganwick-shoot-decklist-by-arai-ryouta-1470240","1
 Plains"
"1665775205-4396","https://mtgdecks.net/Modern/metagame:last-year","Cragganwick Shoot","https://mtgdecks.net/Modern/cragganwick-shoot","N/A","Cragganwick Shoot","https://mtgdecks.net/Modern/cragganwick-shoot-decklist-by-arai-ryouta-1470240","1
 Zagoth Triome"
"1665775205-4397","https://mtgdecks.net/Modern/metagame:last-year","Cragganwick Shoot","https://mtgdecks.net/Modern/cragganwick-shoot","N/A","Cragganwick Shoot","https://mtgdecks.net/Modern/cragganwick-shoot-decklist-by-arai-ryouta-1470240","1
 Stomping Ground"
"1665775205-4398","https://mtgdecks.net/Modern/metagame:last-year","Cragganwick Shoot","https://mtgdecks.net/Modern/cragganwick-shoot","N/A","Cragganwick Shoot","https://mtgdecks.net/Modern/cragganwick-shoot-decklist-by-arai-ryouta-1470240","1
 Temple Garden"
"1665775205-4399","https://mtgdecks.net/Modern/metagame:last-year","Cragganwick Shoot","https://mtgdecks.net/Modern/cragganwick-shoot","N/A","Cragganwick Shoot","https://mtgdecks.net/Modern/cragganwick-shoot-decklist-by-arai-ryouta-1470240","1
 Overgrown Tomb"
"1665775205-4400","https://mtgdecks.net/Modern/metagame:last-year","Cragganwick Shoot","https://mtgdecks.net/Modern/cragganwick-shoot","N/A","Cragganwick Shoot","https://mtgdecks.net/Modern/cragganwick-shoot-decklist-by-arai-ryouta-1470240","1
 Raugrin Triome"
"1665775205-4401","https://mtgdecks.net/Modern/metagame:last-year","Cragganwick Shoot","https://mtgdecks.net/Modern/cragganwick-shoot","N/A","Cragganwick Shoot","https://mtgdecks.net/Modern/cragganwick-shoot-decklist-by-arai-ryouta-1470240","1
 Boseiju, Who Endures"
"1665775205-4402","https://mtgdecks.net/Modern/metagame:last-year","Cragganwick Shoot","https://mtgdecks.net/Modern/cragganwick-shoot","N/A","Cragganwick Shoot","https://mtgdecks.net/Modern/cragganwick-shoot-decklist-by-arai-ryouta-1470240","1
 Mountain"
"1665775205-4403","https://mtgdecks.net/Modern/metagame:last-year","Cragganwick Shoot","https://mtgdecks.net/Modern/cragganwick-shoot","N/A","Cragganwick Shoot","https://mtgdecks.net/Modern/cragganwick-shoot-decklist-by-arai-ryouta-1470240","1
 Forest"
